,ID,animal,f_primer,r_primer,rep,name
0,52s,marvel,rp,sh,1,52s_rp-sh-1
1,53l,marvel,rp,lh,1,53l_rp-lh-1
2,54s,marvel,CH2,sh,1,54s_CH2-sh-1
3,55l,marvel,CH2,lh,1,55l_CH2-lh-1
4,56s,marvel,rp,sh,2,56s_rp-sh-2
5,57l,marvel,rp,lh,2,57l_rp-lh-2
6,58s,marvel,CH2,sh,2,58s_CH2-sh-2
7,59l,marvel,CH2,lh,2,59l_CH2-lh-2
8,60s,mikka,rp,sh,1,60s_rp-sh-1
9,61l,mikka,rp,lh,1,61l_rp-lh-1
10,62s,mikka,CH2,sh,1,62s_CH2-sh-1
11,63l,mikka,CH2,lh,1,63l_CH2-lh-1
12,64s,mikka,rp,sh,2,64s_rp-sh-2
13,65l,mikka,rp,lh,2,65l_rp-lh-2
14,66s,mikka,CH2,sh,2,66s_CH2-sh-2
15,67l,mikka,CH2,lh,2,67l_CH2-lh-2